Data used for the WHO UNICEF coverage estimates 2024 revision (completed July 2025),,,,,,,,,,,,,
ISO3,surveyNameEnglish,surveyNameProduction,collectBegin,collectEnd,cohortYear,vaccine,evidence,cardsSeen,validity,ageVaccination,ageInterview,coverage,denominator
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,BCG,Record or Recall,50,CRUDE,0-23 m,12-23 m,66.7,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,HEPB0,Record or Recall,50,CRUDE,0-23 m,12-23 m,58.1,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,DTP1,Record or Recall,50,CRUDE,0-23 m,12-23 m,62.9,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,DTP2,Record or Recall,50,CRUDE,0-23 m,12-23 m,59.8,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,DTP3,Record or Recall,50,CRUDE,0-23 m,12-23 m,53.4,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,POL0,Record or Recall,50,CRUDE,0-23 m,12-23 m,56.9,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,POL1,Record or Recall,50,CRUDE,0-23 m,12-23 m,64.8,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,POL2,Record or Recall,50,CRUDE,0-23 m,12-23 m,57.9,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,POL3,Record or Recall,50,CRUDE,0-23 m,12-23 m,45.6,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,IPV1,Record or Recall,50,CRUDE,0-23 m,12-23 m,55.4,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,IPV2,Record or Recall,50,CRUDE,0-23 m,12-23 m,43,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,PCV1,Record or Recall,50,CRUDE,0-23 m,12-23 m,63,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,PCV2,Record or Recall,50,CRUDE,0-23 m,12-23 m,59.6,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,PCV3,Record or Recall,50,CRUDE,0-23 m,12-23 m,53.3,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,ROTA1,Record or Recall,50,CRUDE,0-23 m,12-23 m,55.3,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,ROTA2,Record or Recall,50,CRUDE,0-23 m,12-23 m,42.3,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,ROTAC,Record or Recall,50,CRUDE,0-23 m,12-23 m,18.3,5121
NGA,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,Nigeria Demographic and Health Survey (Key Indicators Report) 2023-2024,2023-12,2024-04,2022,MCV1,Record or Recall,50,CRUDE,0-23 m,12-23 m,51.4,5121
