Entity,Code,Year,Total (estimated) polio cases
Nigeria,NGA,1980,5712
Nigeria,NGA,1981,2345
Nigeria,NGA,1982,2765
Nigeria,NGA,1983,2744
Nigeria,NGA,1984,4375
Nigeria,NGA,1985,6713
Nigeria,NGA,1986,3171
Nigeria,NGA,1987,4242
Nigeria,NGA,1988,10220
Nigeria,NGA,1989,3185
Nigeria,NGA,1990,13111
Nigeria,NGA,1991,5894
Nigeria,NGA,1992,6699
Nigeria,NGA,1993,7581
Nigeria,NGA,1994,3514
Nigeria,NGA,1995,3073
Nigeria,NGA,1996,1046
Nigeria,NGA,1997,425
Nigeria,NGA,1998,346
Nigeria,NGA,1999,1089
Nigeria,NGA,2000,708
Nigeria,NGA,2001,112
Nigeria,NGA,2002,224
Nigeria,NGA,2003,394
Nigeria,NGA,2004,868
Nigeria,NGA,2005,922
Nigeria,NGA,2006,1269
Nigeria,NGA,2007,392
Nigeria,NGA,2008,961
Nigeria,NGA,2009,602
Nigeria,NGA,2010,53
Nigeria,NGA,2011,105
Nigeria,NGA,2012,144
Nigeria,NGA,2013,63
Nigeria,NGA,2014,40
Nigeria,NGA,2015,1
Nigeria,NGA,2016,6
Nigeria,NGA,2017,0
Nigeria,NGA,2018,38
Nigeria,NGA,2019,20
Nigeria,NGA,2020,9
